ausencia,reducido,proporcion,tecnica,similitud,exactitud,sensibilidad,precision,f1 score,tiempo
MCAR V6,False,0.15,Imputacion.ConstanteValor0,0.8347194645021194,0.9296840231419671,0.9127416955875062,0.9293286219081273,0.92096048024012,0.002279900014400482
MCAR V6,False,0.15,Imputacion.ConstanteCentralMedia,0.998865118406935,0.9259012016021362,0.9132374814080317,0.921,0.9171023151605676,0.0025019999884534627
MCAR V6,False,0.15,Imputacion.ConstanteCentralMediana,0.9993771408133337,0.9265687583444593,0.9072880515617253,0.927521540800811,0.9172932330827067,0.0027820999966934323
MCAR V6,False,0.15,Imputacion.ConstanteCentralModa,0.9993801027242496,0.9232309746328438,0.8988596926127913,0.9278403275332651,0.9131201208763536,9.67187359998934
MCAR V6,False,0.15,Imputacion.InterpolacionConstantePartes,0.9998125810302816,0.9283489096573209,0.9201784828953892,0.9201784828953892,0.9201784828953892,0.05735590000404045
MCAR V6,False,0.15,Imputacion.InterpolacionLineal,0.9996431772660003,0.9256786826880284,0.9028259791769956,0.9295558958652373,0.9159959758551308,0.012863900017691776
MCAR V6,False,0.15,Imputacion.InterpolacionPolinomios,0.9996066122105465,0.9287939474855362,0.9167079821517105,0.9240379810094953,0.920358387257342,1.1887088000075892
MCAR V6,False,0.15,Imputacion.InterpolacionSpline,0.9994283829157169,0.9263462394303515,0.9028259791769956,0.9309815950920245,0.9166876415806695,0.07735130001674406
MCAR V6,False,0.15,Analisis.GenerativoMaximizacionEsperanza,0.8954483813511974,0.9272363150867824,0.9112543381259296,0.9254783484390735,0.9183112665500874,2.9908404999878258
MCAR V6,False,0.2,Eliminacion.Listwise,0.8,0.9080996884735203,0.8899355478433317,0.9038267875125882,0.8968273794654009,0.002889900002628565
MCAR V6,False,0.2,Eliminacion.Pairwise,0.0,0.9327992879394749,0.924640555280119,0.9255583126550868,0.9250992063492064,0.003125299990642816
MCAR V6,False,0.2,Imputacion.ConstanteValor0,0.8082101185813061,0.9203382287494437,0.9067922657411998,0.9149574787393697,0.9108565737051793,0.002248500008136034
MCAR V6,False,0.2,Imputacion.ConstanteCentralMedia,0.9986305530091866,0.9145527369826435,0.9077838373822509,0.9024149827501232,0.9050914483440435,0.0022900999756529927
MCAR V6,False,0.2,Imputacion.ConstanteCentralMediana,0.9992336536345989,0.9279038718291055,0.9043133366385722,0.9329923273657289,0.918429003021148,0.0043994000006932765
MCAR V6,False,0.2,Imputacion.ConstanteCentralModa,0.9992371690896793,0.929016466399644,0.9092711948438275,0.9309644670050762,0.9199899673940306,8.555184299999382
MCAR V6,False,0.2,Imputacion.InterpolacionConstantePartes,0.9997734279997431,0.929016466399644,0.9132374814080317,0.9274924471299094,0.9203097676742442,0.07475439997506328
